Length,MW,Charge,ChargeDensity,pI,InstabilityInd,Aromaticity,AliphaticInd,BomanInd,HydrophRatio,CrossCorr,AutoCorr,MaxMoment,GlobalAvgDescValue,Slope,Intercept,Antiviral
34,3578,-3.009,-0.000840973,4.095458984,12.29117647,0,120.5882353,1.438235294,0.382352941,0.945885294,0.945885294,0.159963692,0.053823529,0.006359267,0.298477499,1
34,3695.24,-0.967,-0.000261688,5.475585938,0.961764706,0,132.0588235,1.412941176,0.411764706,1.166332353,1.166332353,0.18728185,0.046764706,0.006985056,0.267925152,1
34,3576.07,-2.009,-0.00056179,4.322753906,12.29117647,0,132.0588235,1.037058824,0.411764706,0.979708824,0.979708824,0.170670904,0.121470588,0.006621464,0.294476816,1
34,3755.32,-0.009,-2.40E-06,7.0625,30.87941176,0,120.5882353,1.905294118,0.411764706,1.197735294,1.197735294,0.34688031,-0.064705882,0.010630177,0.304854795,1
34,3591.05,-2.009,-0.000559446,4.322753906,12.29117647,0,120.5882353,1.344705882,0.382352941,0.943311765,0.943311765,0.142557721,0.055294118,0.006745548,0.291366854,1
34,3679.29,0.032,8.70E-06,7.6953125,0.961764706,0,143.5294118,1.067941176,0.441176471,1.185814706,1.185814706,0.18746477,0.100882353,0.005674839,0.283407472,1
34,3706.22,-1.009,-0.000272245,4.733886719,17.95588235,0,132.0588235,1.666470588,0.411764706,1.177582353,1.177582353,0.270552018,0.005294118,0.004835549,0.355907248,1
34,3647.15,-2.009,-0.000550841,4.322753906,17.95588235,0,132.0588235,1.227647059,0.411764706,0.994182353,0.994182353,0.20122755,0.082352941,0.003172062,0.371198058,1
34,3645.18,-1.009,-0.000276804,4.733886719,6.626470588,0,132.0588235,1.375882353,0.411764706,1.162579412,1.162579412,0.172420308,0.053235294,0.007438379,0.271811272,1
34,3714.22,-1.009,-0.000271659,4.733886719,30.87941176,0,120.5882353,1.842058824,0.411764706,1.132511765,1.132511765,0.317451534,-0.025882353,0.008623429,0.322198847,1
